"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","FoldChange"
"ENSMUSG00000044017",174.216100748217,1.95773945507641,0.301225420005337,6.4992504784016,8.0721166104593e-11,1.63468433478411e-06,3.8845283886079
"ENSMUSG00000027776",39.1323197786524,1.81533159326707,0.332354432397218,5.46203515377658,4.70706836057979e-08,0.000476614206850507,3.51940512114931
"ENSMUSG00000097325",40.3045184538972,1.77525857372309,0.37449092140715,4.74045823875398,2.13235401477844e-06,0.0108878401763456,3.42299354968086
"ENSMUSG00000035270",65.9066111441703,-1.22792154728433,0.259124400321178,-4.73873377328556,2.1505782778817e-06,0.0108878401763456,0.426932072822554
"ENSMUSG00000026589",72.9917629788903,1.2454892484506,0.271526933601336,4.58698233700552,4.49698710661204e-06,0.0151780809826668,2.37098945831556
"ENSMUSG00000039349",1146.1707952939,1.41776738771326,0.309001216186965,4.58822591447477,4.47028728267001e-06,0.0151780809826668,2.67171734890417
"ENSMUSG00000026167",205.695551347191,1.45564148264701,0.339441530918291,4.28834232130955,1.80011517938403e-05,0.0338230401017,2.74278489592144
"ENSMUSG00000027510",72.502066943846,-0.949656817557862,0.220925424912627,-4.29854018809034,1.71926730381369e-05,0.0338230401017,0.517755608876542
"ENSMUSG00000041734",324.621814233059,-1.00813470580914,0.233047518748532,-4.3258761613204,1.51926763076916e-05,0.0338230401017,0.497188659190922
"ENSMUSG00000039081",380.400377991397,-1.78416705349927,0.416490848121105,-4.28380854356847,1.83721021736556e-05,0.0338230401017,0.290343561381028
"ENSMUSG00000089901",12.1977097148999,-1.86461327290199,0.439365433958575,-4.24387794028828,2.19689878903989e-05,0.0370744978140391,0.274596801670486
"ENSMUSG00000027765",136.723681216558,-2.01312380726517,0.479692804008277,-4.19669378077732,2.70839734002186e-05,0.0391769675234162,0.247736130017325
"ENSMUSG00000068263",175.489060894085,-0.827642160213248,0.203429943128891,-4.06843824209724,4.73293016234453e-05,0.0466794412011814,0.563449352438231
"ENSMUSG00000049420",321.645621465618,0.90284447276989,0.222042989727192,4.06607960863412,4.78106097377721e-05,0.0466794412011814,1.86974881961774
