# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "20" "-p" "-t" "exon" "-g" "gene_id" "-a" "/osmgfs10000/home/wub/db//STAR/Mus_musculus.GRCm39.113.gtf" "-o" "result/featureCounts/gene_counts.txt" "temp/STAR/BC1_dataAligned.sortedByCoord.out.bam" "temp/STAR/BC2_dataAligned.sortedByCoord.out.bam" "temp/STAR/BC3_dataAligned.sortedByCoord.out.bam" "temp/STAR/BC4_dataAligned.sortedByCoord.out.bam" "temp/STAR/BC5_dataAligned.sortedByCoord.out.bam" "temp/STAR/PA1_dataAligned.sortedByCoord.out.bam" "temp/STAR/PA2_dataAligned.sortedByCoord.out.bam" "temp/STAR/PA3_dataAligned.sortedByCoord.out.bam" "temp/STAR/PA4_dataAligned.sortedByCoord.out.bam" "temp/STAR/PA5_dataAligned.sortedByCoord.out.bam" 
Geneid	temp/STAR/BC1_dataAligned.sortedByCoord.out.bam	temp/STAR/BC2_dataAligned.sortedByCoord.out.bam	temp/STAR/BC3_dataAligned.sortedByCoord.out.bam	temp/STAR/BC4_dataAligned.sortedByCoord.out.bam	temp/STAR/BC5_dataAligned.sortedByCoord.out.bam	temp/STAR/PA1_dataAligned.sortedByCoord.out.bam	temp/STAR/PA2_dataAligned.sortedByCoord.out.bam	temp/STAR/PA3_dataAligned.sortedByCoord.out.bam	temp/STAR/PA4_dataAligned.sortedByCoord.out.bam	temp/STAR/PA5_dataAligned.sortedByCoord.out.bam
ENSMUSG00000104478	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104385	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101231	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102135	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103282	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101097	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100764	13	10	0	8	11	9	5	8	6	3
ENSMUSG00000102534	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100831	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100884	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100635	6	0	4	9	1	4	9	7	6	9
ENSMUSG00000102213	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100480	37	30	14	17	24	22	22	18	13	26
ENSMUSG00000089037	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103629	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076531	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100025	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051285	4456	4266	3393	5458	3713	3713	2738	3463	3115	5178
ENSMUSG00000098201	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103509	6	6	4	6	7	0	2	8	8	14
ENSMUSG00000048538	7	8	4	8	0	2	4	2	6	4
ENSMUSG00000103709	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077244	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102768	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103498	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103067	2	0	0	0	0	0	0	0	0	0
ENSMUSG00000102320	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104226	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103903	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103557	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026312	403	464	596	1207	743	498	206	420	395	918
ENSMUSG00000100290	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100758	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099926	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000039748	17	39	10	24	16	13	6	19	16	8
ENSMUSG00000118715	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104158	0	2	2	0	0	0	0	0	0	0
ENSMUSG00000103540	7	2	4	6	2	6	3	10	0	3
ENSMUSG00000057363	1879	1171	1413	1769	1480	1618	1233	1125	1252	1724
ENSMUSG00000047216	693	695	440	515	402	508	565	860	585	634
ENSMUSG00000102788	14	11	7	6	5	10	2	4	6	1
ENSMUSG00000102160	4	0	0	0	0	0	0	0	2	0
ENSMUSG00000101253	0	5	0	1	1	2	2	2	1	6
ENSMUSG00000101846	0	3	3	2	4	4	5	0	1	0
ENSMUSG00000090243	2	0	0	2	2	0	0	1	0	0
ENSMUSG00000100701	6	4	2	3	0	1	8	0	2	7
ENSMUSG00000100555	3	3	2	0	0	0	0	1	0	0
ENSMUSG00000101395	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102728	0	2	0	0	0	0	0	0	1	2
ENSMUSG00000088848	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002075225	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000038702	619	442	485	859	715	520	518	498	301	772
ENSMUSG00000101875	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099732	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101220	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100020	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088691	0	0	0	0	0	0	0	0	0	0
